,Event ID,Database,State,AllComments,year_storm,flash_flood_present,wind_speed
1,21599,Wind,NSW,57 kt  gust at Braidwood. Radar echoes up to 30 DBZ in area.,1994,FALSE,57 kt
2,21600,Wind,NSW,Dry microburst. 72 kt gust at Bathurst.,1994,FALSE,72 kt
3,21601,Wind,NSW,Dry microburst at Mt Boyce with gust to 58 kts.,1994,FALSE,58 kts
4,21603,Wind,NSW,52 kt gust at Tamworth AWS,1994,FALSE,52 kt
5,21613,Wind,NSW,60 kt wind gust.,1994,FALSE,60 kt
6,21616,Wind,NSW,55 kt winds at Oberon. No damage reported.,1994,FALSE,55 kt
7,21617,Wind,NSW,"Wind gusts ranged from 50 kt at Box Hill, 56 at Penrith, 48 at Sydney Airport, 65 at Barrenjoey Headland to 72 at Fort Denison and 80 knots at Riverview Observatory.  Widespread damage which included roofs, windows, trees, cars (2 cars overturned at Mona Vale) and powerlines.",1994,FALSE,50 kt
8,21639,Wind,NSW,Winds up to 100km/hr. No exact figure. AWS lost power during storm. Fibro and brick home ripped apart. Small Tamair aeroplane destoyed. 32 tonne Neptune aircraft swung around 90 degreees. Some houses in a new estate badly damaged by wind and rain. Roofing iron blown off hangars. 6 mm plate galss window at airport blown in. SOme injuries due to flying glass.,1994,FALSE,100km/hr
9,21651,Wind,NSW,"Wind measured as 102 km/hr (55 knots) ""unofficially"" Gust strength entered from AWS at 1427EDST",1995,FALSE,102 km/hr
10,21652,Wind,NSW,"Winds at Green Point and Niagara Park estimated at 80-90 km/hr. Estimation from damage caused. Damage, however, not reported.",1995,FALSE,90 km/hr
11,21663,Wind,NSW,Fort Denison recorded wind gusting to 61 knots. No reported damage. Evening sond trace recognizable as probable wet microburts,1995,FALSE,61 knot
12,21675,Tornado,NSW,"O'Brien calls it a 'willy willy'. Steve Malley from Canberra Met Office obseved the tornado also. O'Brien writes ""a band of uintense but brief rain and wind squalls crossed the region...at about 2145 [LT] rain and strong gusty E to SE developed to 60 km/hr. By 2000 [LT] the wind veered rapidly through 180 degrees with equally strong W/NW winds.""",1995,FALSE,60 km/hr
13,21768,Wind,NSW,57 kt gust with a line of TS.,1995,FALSE,57 kt
14,21859,Wind,NSW,Wind gusts in excess of 48 kt at Schofields (est) with trees blown down and some uprooted. A sighting of a funnel cloud taking out tops of trees was reported from the St Leonards area at around 0815 UTC.,1996,FALSE,48 kt
15,21883,Wind,NSW,"100 homes blown off stumps and roofs blown off. 1 boy seriously injured. At 0857 AWS came back on air with a report of gust to 97 kt, this is very suspect!.",1996,FALSE,97 kt
16,21885,Wind,NSW,54 kt gust from 280 at 0743.,1996,FALSE,54 kt
17,22052,Wind,NSW,A gust to 50 kt about 2 mins before from 240 deg.,1977,FALSE,50 kt
18,22135,Wind,NSW,55 kt at 0639 from 280 deg and 60 kt at 0638 from 270 deg.,1996,FALSE,55 kt
19,22371,Wind,NSW,55 kt at 0756 UTC.,1998,FALSE,55 kt
20,22808,Wind,NSW,Estimated 50-60kt; roof damage,2003,FALSE,60kt
21,22811,Wind,NSW,Severe winds about 55kt. Trees down on houses and over roads.,2003,FALSE,55kt
22,22820,Wind,NSW,Report of 8 houses damaged by fallen trees in Wagga Wagga. 49kt gust recorded at Wagga Wagga. 28kt at Wagga Airport.,2003,FALSE,49kt
23,22869,Wind,NSW,Winds estimated in excess of 100 km/hr unroofed 11 houses. Hail and and heavy rain were also reported.,2002,FALSE,100 km/hr
24,22873,Wind,NSW,AWS at Coonamble airport reported maximum gust of 36 knots.,2002,FALSE,36 knot
25,22939,Wind,NSW,Wind estimated by spotter as 70-100 km/h,2003,FALSE,100 km/h
26,23105,Tornado,NSW,Unconfirmed tornado sighting The max gust recorded at Moree was SW052kts,2005,FALSE,052kts
27,23232,Wind,NSW,100 km/h (estimated) wind observed at Wingham.,2005,FALSE,100 km/h
28,23246,Wind,NSW,Damage reported but no severe wind speed recorded - max was 42 knots at Broken Hill AWS.,2005,FALSE,42 knot
29,23272,Wind,NSW,Estimated gust 100 km/hr.,2005,FALSE,100 km/hr
30,23295,Wind,NSW,Winds estimated at 95 km/h,2007,FALSE,95 km/h
31,23296,Wind,NSW,Wind gusts 80-90km/h estimated.,2007,FALSE,90km/h
32,23297,Wind,NSW,Winds estimated 100km/h.,2007,FALSE,100km/h
33,23308,Wind,NSW,Wind gust of 53 knots recorded at Tuggeranong AWS at 2:30 UTC on 2/11/06.,2006,FALSE,53 knot
34,23309,Wind,NSW,50 knot wind gust recorded at Forbes AWS at 5:01 UTC on 2/11/06,2006,FALSE,50 knot
35,23310,Wind,NSW,95 km/h (51 kt) wind gust recorded by amateur weather observer (Davis weather station) at 6:32 UTC.,2006,FALSE,95 km/h
36,23318,Wind,NSW,"estimated wind was ""50 to 60 knots"".",2006,FALSE,60 knot
